#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
1;0;0;2;24.07;4.4;102404;6;0;204800;56248;53088;58268;56172.57;1759.27;28124;3641;1;5308;34.76;17.17;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;2;24.49;6.65;102406;5;0;204800;54022;49460;56624;53686.29;2375.22;27011;3791;0;13403;36.15;42.09;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;2;25.33;4.7;102405;5;0;204800;55895;54504;58048;55919.43;1183.98;27947;3664;0;18732;35.02;58.62;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;2;25.52;4.67;102404;5;0;204800;55591;49832;58380;55460.57;2716.76;27795;3684;2;24164;35.2;75.56;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;4;27.59;5.76;51203;5;0;204800;89354;76880;97384;88714.0;8986.34;22338;2292;23;19402;43.6;85.82;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;4;24.44;6.47;51204;5;0;204800;91962;86496;93280;91546.0;3367.43;22990;2227;12;13550;42.4;60.04;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;4;27.82;4.55;51207;6;0;204800;89549;79544;95480;88070.0;8163.66;22387;2287;0;15989;43.47;70.84;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;4;26.09;4.91;51204;5;0;204800;96740;88576;100512;96544.0;5440.93;24185;2117;24;19571;40.5;86.54;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;8;20.54;3.18;25603;5;0;204800;125106;123664;125920;125066.66;1224.22;15638;1637;10;8030;62.72;79.85;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;8;18.61;4.35;25603;7;0;204800;123671;119008;125920;123498.66;3893.01;15458;1656;12;26364;63.34;174.43;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;8;17.14;3.18;25603;6;0;204800;125259;124256;125920;125264.0;886.09;15657;1635;34;5852;62.95;72.06;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;8;15.97;4.11;25603;5;0;204800;123821;119328;125920;123605.34;3708.46;15477;1654;45;25187;63.62;167.69;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
