#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
1;0;0;2;31.43;5.9;102403;5;0;204800;70257;69300;72092;70339.2;1073.55;35128;2915;0;894;27.63;3.14;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;2;32.72;4.26;102405;6;0;204800;58969;50956;63080;57514.67;5447.91;29484;3473;0;1031;32.68;6.43;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;2;36.33;5.46;102403;5;0;204800;68107;65112;70616;68120.66;2126.84;34053;3007;0;1042;28.61;4.72;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;2;33.36;5.97;102404;5;0;204800;69400;62036;71152;68777.6;3810.72;34700;2951;0;1019;28.05;4.87;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;4;34.61;3.53;51204;5;0;204800;120470;118080;120952;119925.34;1601.49;30117;1700;28;728;32.46;3.93;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;4;32.87;5.14;51204;5;0;204800;114413;96184;125456;113072.0;15146.85;28603;1790;20;786;34.0;5.93;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;4;33.51;2.63;51206;5;0;204800;122488;117544;125232;122506.66;4304.72;30622;1672;19;762;31.89;4.56;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;4;30.51;7.52;51204;5;0;204800;113149;97376;119824;111280.0;12146.0;28287;1810;0;1091;34.41;6.53;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;8;26.05;2.98;25603;6;0;204800;190334;172960;203664;188312.0;21711.01;23791;1076;18;763;41.0;7.2;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;8;27.55;4.15;25603;5;0;204800;193025;181840;202640;192240.0;14707.82;24128;1061;35;742;40.53;6.93;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;8;24.27;6.07;25603;6;0;204800;193939;184992;202160;193576.0;12139.61;24242;1056;9;724;40.34;6.74;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;8;28.74;3.07;25603;5;0;204800;195980;194032;197216;195624.0;2251.43;24497;1045;29;1014;40.03;7.59;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;16;16.86;5.11;12804;5;0;204800;261224;247424;247424;247424.0;0.0;16326;784;23;964;59.82;10.83;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;16;20.22;4.37;12803;6;0;204800;279399;273504;273504;273504.0;0.0;17462;733;50;859;56.25;9.05;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;16;20.69;1.72;12803;5;0;204800;293830;293792;293792;293792.0;0.0;18364;697;36;815;53.64;8.8;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;16;19.43;4.32;12804;5;0;204800;276010;270304;270304;270304.0;0.0;17250;742;50;882;56.88;9.43;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;32;15.67;1.88;6402;5;0;204800;320500;322496;322496;322496.0;0.0;10015;639;81;894;97.64;12.38;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;32;15.36;1.4;6404;6;0;204800;356794;353728;353728;353728.0;0.0;11149;574;79;901;88.39;13.96;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;32;12.45;2.93;6402;5;0;204800;374405;374464;374464;374464.0;0.0;11700;547;66;1016;84.59;12.81;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;32;19.91;4.35;6402;5;0;204800;318012;315712;315712;315712.0;0.0;9937;644;85;881;98.63;11.63;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;64;8.66;1.57;3202;6;0;204800;402357;402944;402944;402944.0;0.0;6286;509;138;865;157.48;16.34;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;64;12.36;5.09;3204;5;0;204800;371687;371840;371840;371840.0;0.0;5807;551;141;807;169.4;17.71;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;64;8.73;1.59;3202;5;0;204800;405544;405888;405888;405888.0;0.0;6336;505;140;878;155.65;18.25;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;64;10.88;0.0;3204;5;0;204800;427557;0;0;0.0;0.0;6680;479;139;860;148.26;16.77;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;128;3.76;0.0;1602;5;0;204800;480751;0;0;0.0;0.0;3755;426;256;1217;264.9;30.24;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;128;7.69;1.71;1602;5;0;204800;436673;0;0;0.0;0.0;3411;469;264;1013;290.44;24.23;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;0;0;128;3.57;1.79;1604;5;0;204800;456124;0;0;0.0;0.0;3563;449;257;1033;279.38;25.12;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;0;0;128;7.16;0.0;1602;6;0;204800;457142;0;0;0.0;0.0;3571;448;266;1017;278.37;24.88;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;0;0;256;0.98;1.96;803;6;0;204800;499512;0;0;0.0;0.0;1951;410;491;1495;510.85;49.39;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;0;0;256;4.83;0.0;802;5;0;204800;493493;0;0;0.0;0.0;1927;415;502;1242;516.18;33.61;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
