#rnd_rate,wrt_rate,io_size,1_iops,device,cpu,OLS,MARS
0,0,0.001953125,0.000036076,0,0.299575,0.0351710533,0.3236519838
0,0,0.001953125,2.99928766918E-05,1,0.388575,0.1376886971,0.3706231113
0,0,0.00390625,4.35255712731E-05,0,0.319075,0.0350332082,0.2955032135
0,0,0.00390625,3.40052198012E-05,1,0.3758,0.1375523458,0.355471298
0,0,0.0078125,6.42776795758E-05,0,0.2177,0.0347549742,0.2170740816
0,0,0.0078125,0.000041383,1,0.3072,0.1372799245,0.3276137039
0,0,0.015625,0.0001287208,0,0.14155,0.0341885367,0.1312827377
0,0,0.015625,5.76352266505E-05,1,0.2318,0.1367344314,0.2662394866
0,0,0.03125,0.000257119,0,0.098475,0.0330558738,0.0814224517
0,0,0.03125,9.34557603794E-05,1,0.184875,0.1356420039,0.187409573
0,0,0.0625,0.000514271,0,0.0675,0.0307903934,0.0534088587
0,0,0.0625,0.0001593054,1,0.1222,0.1334596661,0.142326056
0,0,0.125,0.0010309278,0,0.05825,0.0262584101,0.0372383334
0,0,0.125,0.0002797203,1,0.0642,0.1290998947,0.1038540455
0,0,0.25,0.0020639835,0,0.0491,0.0171945557,0.0281410644
0,0,0.25,0.0005291005,1,0.056325,0.1203766358,0.0776490199
0,0,0.5,0.004127967,0,0.0237,-0.0009322283,0.0128125315
0,0,0.5,0.0011108026,1,0.07225,0.1028940706,0.06421539
0,0,1,0.0082815735,0,0.01575,-0.0371969397,0.0155656118
0,0,1,0.0020964361,1,0.064575,0.0680062014,0.0594033424
0,0.2,0.001953125,0.0005504335,0,0.0387,0.0415611068,0.0506275829
0,0.2,0.001953125,0.0001065445,1,0.186775,0.1442690267,0.1736902956
0,0.2,0.00390625,0.0095238095,0,0.00505,0.0375265535,0.0065693121
0,0.2,0.00390625,0.0001108371,1,0.168625,0.1441325537,0.1687121512
0,0.2,0.0078125,0.0116618076,0,0.0037,0.0363281369,0.0054117137
0,0.2,0.0078125,0.000135888,1,0.170675,0.1438524514,0.1538498902
0,0.2,0.015625,0.0138408304,0,0.003425,0.0348426756,0.0042708218
0,0.2,0.015625,0.0001780151,1,0.143575,0.1432957127,0.1354691833
0,0.2,0.03125,0.016064257,0,0.0034,0.0327994861,0.0031844248
0,0.2,0.03125,0.0002272211,1,0.110175,0.1421974678,0.1140658892
0,0.2,0.0625,0.0183486239,0,0.0034,0.0296529518,0.0022226231
0,0.2,0.0625,0.0003203075,1,0.103325,0.1400032925,0.1005654423
0,0.2,0.125,0.0196078431,0,0.0035,0.0247982413,0.0021523478
0,0.2,0.125,0.0004843201,1,0.079975,0.135624573,0.0831306767
0,0.2,0.25,0.0209424084,0,0.003775,0.0156033469,0.0026747663
0,0.2,0.25,0.0008041817,1,0.062275,0.1268706819,0.06657075
0,0.2,0.5,0.0203045685,0,0.005125,-0.0013491897,0.0055715066
0,0.2,0.5,0.0014492754,1,0.0726,0.1093605659,0.0626365791
0,0.2,1,0.0195121951,0,0.00835,-0.0354643139,0.0110943357
0,0.2,1,0.0024630542,1,0.0489,0.0744604644,0.0575420842
0,0.4,0.001953125,0.0006928807,0,0.033675,0.0481127974,0.0430165543
0,0.4,0.001953125,0.0001089265,1,0.1726,0.1508815915,0.1727347058
0,0.4,0.00390625,0.0067567568,0,0.0063,0.0453427506,0.0099367337
0,0.4,0.00390625,0.0001113617,1,0.1571,0.1507459257,0.1699192441
0,0.4,0.0078125,0.0074074074,0,0.005525,0.0447907545,0.0096120498
0,0.4,0.0078125,0.0001447126,1,0.159325,0.1504622161,0.1518008564
0,0.4,0.015625,0.0074211503,0,0.006475,0.044246352,0.0096837147
0,0.4,0.015625,0.0001956947,1,0.141475,0.1499016289,0.1295398732
0,0.4,0.03125,0.0074766355,0,0.007525,0.043145378,0.0098113649
0,0.4,0.03125,0.0002520955,1,0.1172,0.148800257,0.1095809395
0,0.4,0.0625,0.0063897764,0,0.010675,0.0414640224,0.0107374497
0,0.4,0.0625,0.000360848,1,0.10045,0.1465992731,0.0979168737
0,0.4,0.125,0.0039564787,0,0.019675,0.0382141277,0.0127349839
0,0.4,0.125,0.0005447365,1,0.077925,0.1422119152,0.0782923395
0,0.4,0.25,0.0044296788,0,0.02265,0.0293935938,0.0137397668
0,0.4,0.25,0.0009101251,1,0.059175,0.1334382376,0.0673254461
0,0.4,0.5,0.0059347181,0,0.020775,0.0115097341,0.0154364949
0,0.4,0.5,0.0015860428,1,0.0696,0.115914725,0.0630819459
0,0.4,1,0.0097087379,0,0.0176,-0.0245900039,0.0184021438
0,0.4,1,0.0027322404,1,0.053275,0.0809570726,0.056658586
0,0.6,0.001953125,0.0007886435,0,0.031325,0.0546847776,0.0438734151
0,0.6,0.001953125,9.72478848585E-05,1,0.198525,0.1575002672,0.188150319
0,0.6,0.00390625,0.0048019208,0,0.00855,0.0528059477,0.0128493138
0,0.6,0.00390625,0.0001047779,1,0.201225,0.1573623871,0.1794028058
0,0.6,0.0078125,0.0047505938,0,0.0086,0.0525590403,0.0129177374
0,0.6,0.0078125,0.0001343544,1,0.1667,0.1570803179,0.1581576573
0,0.6,0.015625,0.0038797284,0,0.0122,0.0523991,0.013484783
0,0.6,0.015625,0.0001834694,1,0.14485,0.1565205422,0.1367148676
0,0.6,0.03125,0.0032154341,0,0.01765,0.0516109516,0.0198173989
0,0.6,0.03125,0.0002380811,1,0.120725,0.1554199479,0.112942819
0,0.6,0.0625,0.0029455081,0,0.022875,0.0495745462,0.0228436363
0,0.6,0.0625,0.0003636364,1,0.0921,0.1532116612,0.0994275444
0,0.6,0.125,0.0037878788,0,0.02165,0.0449010034,0.0150250644
0,0.6,0.125,0.0005547081,1,0.066575,0.1488211814,0.0790116171
0,0.6,0.25,0.0042964554,0,0.0257,0.0360650944,0.015632244
0,0.6,0.25,0.000952381,1,0.0618,0.1400334726,0.0687192675
0,0.6,0.5,0.0061068702,0,0.02225,0.0180485146,0.0171579617
0,0.6,0.5,0.001607717,1,0.074875,0.1225189051,0.0646823101
0,0.6,1,0.0101522843,0,0.014925,-0.0181691749,0.0199716298
0,0.6,1,0.0028248588,1,0.0515,0.0875304194,0.0575470035
0,0.8,0.001953125,0.0009496676,0,0.02635,0.0612283945,0.0440753589
0,0.8,0.001953125,7.00255593292E-05,1,0.207725,0.1641256983,0.2265212055
0,0.8,0.00390625,0.0030349014,0,0.01245,0.0601875174,0.0231692112
0,0.8,0.00390625,8.24453284416E-05,1,0.222775,0.1639856931,0.2072230224
0,0.8,0.0078125,0.0026455026,0,0.014525,0.0600875403,0.0271166325
0,0.8,0.0078125,0.000104455,1,0.187725,0.1637069126,0.181636278
0,0.8,0.015625,0.0017628911,0,0.0234,0.059932705,0.0360532823
0,0.8,0.015625,0.000143287,1,0.171825,0.163151606,0.1561406411
0,0.8,0.03125,0.0018930431,0,0.027325,0.0587992799,0.0349058879
0,0.8,0.03125,0.0002030869,1,0.1277,0.1620487568,0.1300950799
0,0.8,0.0625,0.0021470746,0,0.0283,0.0565351557,0.0326740438
0,0.8,0.0625,0.0003216986,1,0.09995,0.1598434879,0.1058658006
0,0.8,0.125,0.00249066,0,0.029425,0.0520783916,0.0298609418
0,0.8,0.125,0.0005171968,1,0.06755,0.1554510843,0.0849621951
0,0.8,0.25,0.0035460993,0,0.024775,0.0430048089,0.020539046
0,0.8,0.25,0.0008770007,1,0.054025,0.1466798339,0.0712936049
0,0.8,0.5,0.0055865922,0,0.021975,0.0248882342,0.0192671894
0,0.8,0.5,0.0015491867,1,0.07595,0.1291579431,0.0670875531
0,0.8,1,0.0103092784,0,0.016675,-0.0116238066,0.0217015851
0,0.8,1,0.0028268551,1,0.056875,0.0941431518,0.0593448414
0,1,0.001953125,4.17667327973E-05,0,0.307375,0.06823658,0.3112233331
0,1,0.001953125,3.53513035793E-05,1,0.36745,0.1707543682,0.3594509448
0,1,0.00390625,4.54674623473E-05,0,0.3138,0.0681003642,0.297249807
0,1,0.00390625,3.92222233117E-05,1,0.35725,0.1706180785,0.3448338879
0,1,0.0078125,6.3224113677E-05,0,0.2387,0.0678234321,0.2301472327
0,1,0.0078125,4.77737435505E-05,1,0.292725,0.170345147,0.3125381725
0,1,0.015625,0.0001253722,0,0.162875,0.067257992,0.1418394685
0,1,0.015625,6.35172687574E-05,1,0.215925,0.169799875,0.2530874024
0,1,0.03125,0.0002522068,0,0.1159,0.0661260087,0.0910529971
0,1,0.03125,0.0001053214,1,0.207225,0.168704847,0.1826835128
0,1,0.0625,0.0005018821,0,0.0692,0.0638637778,0.0638631395
0,1,0.0625,0.0001754078,1,0.142,0.1665206678,0.1443593575
0,1,0.125,0.0010040161,0,0.062325,0.0593381064,0.0465977616
0,1,0.125,0.0003064664,1,0.101125,0.1621562705,0.1099967188
0,1,0.25,0.002020202,0,0.055175,0.0502815837,0.0376697854
0,1,0.25,0.0005864243,1,0.08745,0.1534197222,0.0804228895
0,1,0.5,0.0039880359,0,0.028875,0.0321965875,0.0219802529
0,1,0.5,0.0011844833,1,0.099375,0.135930048,0.0725653405
0,1,1,0.0080321285,0,0.020675,-0.0040205277,0.024794661
0,1,1,0.0021917808,1,0.0641,0.1010327633,0.0675358872
0.2,0,0.001953125,0.00110957,0,0.03255,0.0300730988,0.0351991989
0.2,0,0.001953125,9.98477322084E-05,1,0.1267,0.1330269372,0.1796696349
0.2,0,0.00390625,0.0011092623,0,0.03285,0.0299386251,0.035222127
0.2,0,0.00390625,0.0001081812,1,0.14005,0.132888708,0.1699866034
0.2,0,0.0078125,0.0011223345,0,0.027325,0.029663729,0.0351306247
0.2,0,0.0078125,0.0001237968,1,0.1557,0.1326127064,0.1573303646
0.2,0,0.015625,0.0011366866,0,0.0277,0.0291190617,0.0350659576
0.2,0,0.015625,0.000144087,1,0.1526,0.1320654583,0.1485185828
0.2,0,0.03125,0.0012742912,0,0.030575,0.0279823975,0.0338437732
0.2,0,0.03125,0.0001819505,1,0.14675,0.130972143,0.1320855531
0.2,0,0.0625,0.0015576324,0,0.0329,0.025705535,0.0313177971
0.2,0,0.0625,0.0002437984,1,0.09825,0.1287915443,0.1071767572
0.2,0,0.125,0.0020429009,0,0.033675,0.0211871935,0.0270828597
0.2,0,0.125,0.0003763643,1,0.0844,0.124426492,0.0932065473
0.2,0,0.25,0.0031771247,0,0.031525,0.0120793701,0.0169703361
